Year,County,IncomeClass,Disclosure,ReturnCount,TotalIncome,TotalDeductions,TotalExemptions,TotalTaxableIncome,TotalTaxBeforeCredits,TotalTaxLiability,Place of Residence Sort Order,Income Class Sort Order
2007, Schenectady ,"10,000 - 19,999",,10784,159849,99374,4091,56384,2299,-1936,48,3
2011,Allegany,"50,000 - 59,999",,1170,64051,15715,1001,47335,2483,2110,8,7
2008, New York City - Manhattan ,"250,000 - 499,999",,38349,13240577,1077947,18438,12144192,831871,788229,3,12
2001, Fulton ,Total,,22981,736352,214576,12431,509337,27692,25125,23,12
2007,"Grand Total, Full-Year Resident","100,000 - 199,999",,768436,103146734,17883443,794924,84468223,5555525,5276023,67,10
2004, St. Lawrence ,"75,000 - 99,999",,2343,200968,35807,2868,162293,9336,9059,46,9
2007, Columbia ,"75,000 - 99,999",,2216,191052,38179,2016,150857,8745,7760,16,9
2005, Seneca ,"60,000 - 74,999",,964,64992,14423,1036,49533,2674,2537,51,8
2007, Jefferson ,"500,000 and over",,84,89585,2543,74,86968,5957,4920,28,13
2012,Tompkins,"75,000 - 99,999",,2916,252889,46859,2415,203615,11508,10713,56,9
2010,Ulster,"30,000 - 39,999",,7319,254575,85818,4037,164721,8110,6364,57,5
2001, Fulton ,"60,000 - 74,999",,1321,88236,17913,1408,68915,3735,3699,23,8
2010,Orleans,"500,000 and over",d/,,,,,,,,40,13
2003, Orange ,"40,000 - 49,999",,10930,489526,141487,8698,339341,17448,16151,39,6
2004, Tioga ,"Under 5,000",,3238,6748,6338,0,409,16,-131,55,1
2009,Hamilton,"5,000 - 9,999",,260,1897,1681,4,212,8,-34,26,2
2007, NYS Unclassified + ,"100,000 - 199,999",,72,9724,1775,54,7896,522,492,65,10
2007, St. Lawrence ,"60,000 - 74,999",,2901,194526,41731,2824,149971,8224,7365,46,8
2006, Tioga ,"20,000 - 29,999",,2922,72203,31702,1737,38764,1721,581,55,4
2001, Putnam ,"50,000 - 59,999",,2790,152963,39717,2331,110914,5917,5572,43,7
2008, Greene ,"5,000 - 9,999",,2128,15688,13329,24,2335,93,-244,25,2
2001, Ontario ,"40,000 - 49,999",,3574,160072,43403,3028,113640,5661,5443,38,6
1999, Wyoming ,"100,000 - 199,999",,332,41902,5250,381,36271,2345,2222,62,10
2004, Albany ,"200,000 and over",,2904,1482083,78363,3582,1400137,105892,98831,7,11
2010,Rockland,"500,000 and over",,1239,1580312,55731,1924,1522657,135970,110627,45,13
2008, Tioga ,"200,000 - 249,999",,121,26856,2425,143,24288,1664,1570,55,11
2009,Chemung,"30,000 - 39,999",,3425,119087,38720,2032,78336,3816,2831,13,5
2002, Monroe ,"20,000 - 29,999",,41074,1017387,409552,23269,584567,26206,19872,32,4
2011,Wyoming,"500,000 and over",,18,17845,705,12,17128,1536,1279,62,13
2010,Montgomery,Total,,23906,883734,239193,12546,643008,37067,29031,33,14
2009,Niagara,"50,000 - 59,999",,5604,307172,74233,4346,228593,12126,10940,35,7
2007, Steuben ,"10,000 - 19,999",,6966,102869,66843,2696,33331,1355,-1590,52,3
2003, Madison ,"5,000 - 9,999",,2839,20925,17657,52,3216,129,-363,31,2
1999, Montgomery ,"75,000 - 99,999",,866,73769,11990,1005,60775,3499,3451,33,9
2005, Saratoga ,"40,000 - 49,999",,7368,330499,89771,4504,236224,12252,11778,47,6
2002, New York City - Bronx ,"Under 5,000",,55470,120208,117516,2,2690,108,-3951,1,1
2002, Orange ,"Under 5,000",,19267,39698,37046,0,2652,106,-537,39,1
2000, St. Lawrence ,"20,000 - 29,999",,5189,128121,54162,3797,70162,3069,2402,46,4
2005, Rockland ,"20,000 - 29,999",,12067,299527,137528,7173,154769,6917,3764,45,4
2009,Rensselaer,"20,000 - 29,999",,8678,216212,87089,4453,124670,5629,2055,44,4
2005, Wyoming ,"75,000 - 99,999",,1155,98978,17934,1361,79684,4572,4282,62,9
2011,Albany,"250,000 - 499,999",,1760,592682,46949,2159,543574,40164,38003,7,12
2001, Westchester ,"30,000 - 39,999",,37730,1314340,425354,20778,868212,43042,40016,61,5
2002, Ontario ,"10,000 - 19,999",,6842,102138,63751,2182,36206,1473,-192,38,3
2010,Warren,"20,000 - 29,999",,4139,102552,43629,2024,56899,2555,1117,58,4
2010,Orleans,"75,000 - 99,999",,1223,104968,19285,1306,84377,4860,4415,40,9
2011,Nassau,"Under 5,000",,98691,-2170520,148488,9,10038,402,-4117,34,1
2003, Franklin ,Total,,18525,569520,176854,10654,382013,20817,17414,22,12
1999,"Grand Total, Full-Year Resident","75,000 - 99,999",,466673,40139307,7165817,494182,32479308,1895441,1858354,67,9
2006, Columbia ,"20,000 - 29,999",,3605,89566,38567,1834,49165,2199,1065,16,4
2012,Niagara,"Under 5,000",,16536,-11886,25975,0,1492,60,-1299,35,1
2008, New York City - Richmond ,"30,000 - 39,999",,17229,600658,210589,10796,379273,18717,14055,5,5
1999, Saratoga ,"30,000 - 39,999",,8912,310516,93675,5485,211357,10256,10076,47,5
2011,Cattaraugus,"60,000 - 74,999",,2152,144396,31105,1958,111333,6111,5312,10,8
1999, Oneida ,"5,000 - 9,999",,11606,85693,73318,289,12077,483,-766,36,2
2007, Franklin ,"100,000 - 199,999",,820,101520,15182,917,85421,5492,5160,22,10
2009,Onondaga,"5,000 - 9,999",,19358,143315,120154,572,22590,904,-3462,37,2
2012,Yates,"Under 5,000",,1886,-3416,2998,0,180,7,-201,63,1
2007, Lewis ,"10,000 - 19,999",,1828,27182,17683,601,8898,362,-356,29,3
2001, Hamilton ,"30,000 - 39,999",,290,10043,3364,195,6484,300,293,26,5
2005, Niagara ,"75,000 - 99,999",,7091,610587,111590,8293,490704,28277,27733,35,9
2010,Tioga,"200,000 - 249,999",,102,22485,2025,119,20341,1394,1297,55,11
1999, Tioga ,"5,000 - 9,999",,2320,17222,14643,24,2554,102,-119,55,2
2001, Yates ,"100,000 - 199,999",,263,34182,4414,256,29512,1921,1871,63,10
2006, New York City - Bronx ,"100,000 - 199,999",,12802,1639919,261295,13183,1365442,89127,84986,1,10
2007, New York City - Manhattan ,"40,000 - 49,999",,62461,2796311,669693,25577,2101041,115570,105044,3,6
2012,Schuyler,"5,000 - 9,999",,774,5829,5011,12,807,32,-139,50,2
2007, Genesee ,Total,,27817,1060455,280511,14434,765510,43178,35488,24,14
2008, Jefferson ,"50,000 - 59,999",,2455,134806,33574,2094,99139,5178,4527,28,7
2006, Livingston ,"200,000 and over",,203,78507,4833,230,73444,5031,4783,30,11
2006, Saratoga ,"5,000 - 9,999",,8397,61489,48941,58,12490,500,-577,47,2
2000, Essex ,"30,000 - 39,999",,1646,57335,18338,1210,37787,1778,1651,21,5
2010,St. Lawrence,"100,000 - 199,999",,2544,321810,43818,3035,274957,17800,17026,46,10
2010,Washington,"30,000 - 39,999",,2616,91111,29644,1692,59775,2913,2039,59,5
2000, Seneca ,"10,000 - 19,999",,2640,39148,24927,1087,13133,533,-57,51,3
2002, Ontario ,"Under 5,000",,7225,14709,13726,0,983,39,-424,38,1
1999, Residence Unknown ++ ,"60,000 - 74,999",,506,33886,6729,291,26866,1556,1509,66,8
2004, Herkimer ,"100,000 - 199,999",,678,84893,11942,788,72163,4683,4505,27,10
2001, Chautauqua ,"10,000 - 19,999",,10914,161298,103356,4566,53376,2167,-516,12,3
2004, Nassau ,Total,,630606,50743944,9226086,379444,41138510,2801342,2643944,34,12
2008, NYS Unclassified + ,"50,000 - 59,999",,14,775,242,3,530,29,28,65,7
2007, Yates ,Total,,10578,389435,109495,6047,273893,15470,11734,63,14
2011,"Grand Total, Full-Year Resident","100,000 - 199,999",,850894,115007000,18742388,870456,95394155,6291369,5987198,67,10
2006, Schuyler ,"40,000 - 49,999",,620,27700,7838,476,19386,973,826,50,6
1999, Schenectady ,"100,000 - 199,999",,3453,448584,58020,3641,386924,25219,25073,48,10
1999, Orange ,"30,000 - 39,999",,12830,446960,138210,8901,299849,14610,13836,39,5
2012,Columbia,"60,000 - 74,999",,1793,119953,27065,1326,91562,4972,4303,16,8
2009,Chenango,"75,000 - 99,999",,1361,116967,20870,1415,94682,5466,5044,14,9
2002, Dutchess ,"10,000 - 19,999",,15555,229857,142658,4774,82425,3362,86,19,3
2007, Wayne ,"60,000 - 74,999",,3320,223092,50451,3321,169320,9207,8236,60,8
2007, St. Lawrence ,"500,000 and over",,58,57678,1704,44,55931,3831,3630,46,13
2009,Greene,"75,000 - 99,999",,1587,137355,25859,1486,110010,6404,5976,25,9
2000, New York City - Queens ,"200,000 and over",,7123,3013714,171623,6457,2835582,194237,187227,4,11
2009,Madison,"75,000 - 99,999",,2200,189677,35926,2353,151398,8733,8089,31,9
2001, Monroe ,"40,000 - 49,999",,24837,1112246,283731,17505,811010,41902,41271,32,6
2008, Lewis ,"60,000 - 74,999",,771,51730,11626,824,39280,2126,1780,29,8
2010,Westchester,"500,000 and over",,14609,25182518,631060,24389,24527069,2195543,2008930,61,13
2009,Columbia,"75,000 - 99,999",,2146,185311,36986,1889,146437,8501,7555,16,9
2011,Dutchess,"100,000 - 199,999",,18644,2519445,432246,22253,2064946,135849,127443,19,10
2001, Tioga ,"20,000 - 29,999",,2951,73181,30095,1832,41254,1822,1368,55,4
2002, Albany ,"75,000 - 99,999",,9863,850017,149929,10935,689154,39930,39335,7,9
2001, Genesee ,"Under 5,000",,4409,9884,9234,1,649,26,-187,24,1
2002, St. Lawrence ,"Under 5,000",,6927,13956,13259,0,696,28,-379,46,1
2008, Wayne ,"100,000 - 199,999",,2976,377310,55701,3564,318045,20570,19650,60,10
2005, Suffolk ,"10,000 - 19,999",,85131,1261150,804608,26157,430077,17568,-7594,53,3
2005, Chautauqua ,"30,000 - 39,999",,5655,196565,65324,4220,127035,6061,5339,12,5
2006, Ulster ,"200,000 and over",,1364,724344,40280,1210,682854,46775,42881,57,11
2010,Essex,"30,000 - 39,999",,1539,53414,17877,945,34593,1675,1198,21,5
2008, Westchester ,"30,000 - 39,999",,34784,1212017,433166,20564,758288,37604,27588,61,5
2002, Orleans ,"20,000 - 29,999",,2363,58308,24882,1785,31641,1393,940,40,4
2010,Dutchess,"500,000 and over",,645,880563,27266,745,852552,76132,69340,19,13
2002, Dutchess ,"20,000 - 29,999",,13379,332977,137661,7087,188229,8442,6515,19,4
2006, New York City - Queens ,"30,000 - 39,999",,101801,3541460,1233839,73347,2234263,108935,82505,4,5
2009,Rockland,"5,000 - 9,999",,10065,74816,62396,187,12232,490,-1353,45,2
2003, Tompkins ,"10,000 - 19,999",,5449,81661,49062,1429,31170,1272,37,56,3
2012,Putnam,Total,,46128,4203849,680996,26644,3559853,243885,204514,43,14
2009,Livingston,"200,000 - 249,999",,109,23792,2402,146,21244,1456,1086,30,11
2009,Fulton,"10,000 - 19,999",,3867,57425,37156,1570,18698,760,-1080,23,3
2011,Chautauqua,"200,000 - 249,999",,184,40445,4496,183,35766,2451,2300,12,11
2006, New York City - Queens ,"75,000 - 99,999",,56508,4859621,981101,48892,3829628,226555,214127,4,9
2012,Tioga,"10,000 - 19,999",,3461,51317,32362,1238,17718,722,-801,55,3
2009,Herkimer,"500,000 and over",,27,31480,693,32,30755,2756,2333,27,13
2007, Erie ,"30,000 - 39,999",,38785,1346743,413114,20082,913548,45476,37859,20,5
2009,New York City - Richmond,"50,000 - 59,999",,12449,682354,177353,8358,496642,27307,24205,5,7
2010,Oneida,"200,000 - 249,999",,475,105402,10690,564,94148,6453,6270,36,11
2009,Delaware,"20,000 - 29,999",,2355,58301,26005,1339,30957,1375,377,18,4
2012,Ulster,"20,000 - 29,999",,9488,234912,100755,4739,129418,5794,2264,57,4
2007, Cayuga ,"5,000 - 9,999",,3743,27746,23072,39,4635,185,-538,11,2
2006, Jefferson ,"Under 5,000",,6058,12701,11958,0,744,30,-537,28,1
2002, Otsego ,"30,000 - 39,999",,2415,83938,28056,1743,54139,2566,2410,42,5
2002, Orange ,"5,000 - 9,999",,13202,98053,81667,211,16174,647,-1753,39,2
2003, Westchester ,"100,000 - 199,999",,49364,6801885,1269533,56178,5476179,366525,343649,61,10
2007, Rockland ,"500,000 and over",,1571,2161777,92160,2284,2067331,141612,117890,45,13
1999, Broome ,"5,000 - 9,999",,10574,77959,67278,111,10570,423,-615,9,2
2008, Schoharie ,"5,000 - 9,999",,1192,8765,7572,16,1176,47,-169,49,2
2011,Albany,"Under 5,000",,22377,-38402,35265,2,1875,75,-2154,7,1
2003, Ontario ,"75,000 - 99,999",,3319,284978,53590,3947,227441,13055,12741,38,9
2011,Herkimer,"500,000 and over",,25,23492,582,18,22892,2041,1493,27,13
2003, Genesee ,"20,000 - 29,999",,3512,86891,36385,2034,48472,2158,1451,24,4
2004, Warren ,"30,000 - 39,999",,2959,102643,33712,1721,67210,3256,3080,58,5
2009,Ontario,"5,000 - 9,999",,4574,33734,28016,79,5638,226,-605,38,2
2010,Cayuga,"30,000 - 39,999",,3118,108414,34797,1922,71695,3509,2572,11,5
2010,Tompkins,"10,000 - 19,999",,5439,80584,49085,1526,29973,1221,-682,56,3
2011,Clinton,Total,,35374,1424591,349007,16376,1072747,63715,53186,15,14
1999, Clinton ,"50,000 - 59,999",,2008,109981,25388,2178,82415,4194,4094,15,7
2008, Livingston ,"5,000 - 9,999",,2514,18512,15275,34,3203,128,-342,30,2
2005, Chemung ,"Under 5,000",,6085,12386,11780,0,583,23,-312,13,1
2011,Wayne,"250,000 - 499,999",,162,52506,3378,150,48977,3583,3385,60,12
2008, Jefferson ,"5,000 - 9,999",,4344,32071,26898,96,5077,203,-662,28,2
2004,"Grand Total, Full-Year Resident",Total,,8064550,464088545,93696330,4569019,365823439,23945527,21590194,67,12
2009,Oswego,"30,000 - 39,999",,5060,175713,57973,3691,114049,5502,3977,41,5
2000, Warren ,"Under 5,000",,4575,10721,10000,0,720,29,-69,58,1
2009,Wyoming,"Under 5,000",,2880,-9201,4798,0,327,13,-550,62,1
2007, Dutchess ,"500,000 and over",,732,1185317,44815,709,1139792,78076,70694,19,13
2008, Sullivan ,Total,,32835,1386339,375183,18145,1012362,59361,48120,54,14
2003, Jefferson ,"50,000 - 59,999",,2086,114286,28703,2220,83363,4244,4056,28,7
2007, Herkimer ,"100,000 - 199,999",,1146,143284,21185,1329,120763,7775,7342,27,10
2002,"Grand Total, Full-Year Resident","Under 5,000",,1147330,2301311,2191640,37,109643,4389,-46412,67,1
2012,Livingston,"250,000 - 499,999",,147,48342,3241,156,44945,3035,2856,30,12
2002, Allegany ,"50,000 - 59,999",,1113,60972,15250,1190,44532,2249,2134,8,7
2005, Yates ,"75,000 - 99,999",,533,45562,8640,711,36211,2076,1946,63,9
2010,Cattaraugus,"200,000 - 249,999",,92,20182,1942,84,18156,1245,1135,10,11
2000, Hamilton ,"60,000 - 74,999",,124,8315,1761,110,6444,349,347,26,8
2006, Fulton ,Total,,23840,870378,241174,12480,616735,34619,27963,23,12
2009,Cayuga,"Under 5,000",,5067,-23007,8833,0,522,21,-637,11,1
2006, Chemung ,"40,000 - 49,999",,2640,118053,32513,1877,83663,4260,3678,13,6
2008, Chemung ,Total,,37672,1580513,381948,19382,1186736,69652,58016,13,14
2009,Sullivan,"20,000 - 29,999",,4440,110064,48570,3143,58350,2589,379,54,4
2006, St. Lawrence ,"100,000 - 199,999",,1923,239631,34253,2323,203055,13083,12434,46,10
2004, Oswego ,"100,000 - 199,999",,2390,295022,41087,3016,250919,16196,15862,41,10
2008, New York City - Bronx ,"20,000 - 29,999",,79108,1965843,818845,75399,1071599,46859,-11296,1,4
1999, Putnam ,"40,000 - 49,999",,3247,145496,40401,2241,102854,5295,5014,43,6
2012,Schoharie,"250,000 - 499,999",,46,15227,1105,27,14095,954,928,49,12
2010,Cortland,"Under 5,000",,2957,-3596,5105,0,281,11,-340,17,1
2010,Columbia,"Under 5,000",,4370,-60107,6811,0,337,13,-339,16,1
2004, Cortland ,"10,000 - 19,999",,3385,50537,31916,1274,17347,706,-427,17,3
2010,New York City - Queens,Total,,1011216,40119505,10742818,544184,29322634,1772463,1453845,4,14
2012,Albany,"250,000 - 499,999",,1908,641334,50049,2338,588947,39844,38544,7,12
2009,Tioga,"200,000 - 249,999",,120,26389,2403,141,23846,1634,1519,55,11
2010,Warren,"100,000 - 199,999",,2352,308802,48509,2694,257599,16806,16157,58,10
2003, Montgomery ,"30,000 - 39,999",,2266,78521,25530,1652,51339,2467,2297,33,5
2005, Delaware ,"10,000 - 19,999",,3425,50512,33447,1182,15884,646,-414,18,3
2002, Monroe ,"5,000 - 9,999",,33211,244404,205788,582,38034,1522,-3736,32,2
2000,"Grand Total, Full-Year Resident","5,000 - 9,999",,912361,6810721,5934981,10998,864633,34598,-134835,67,2
2009,Monroe,"500,000 and over",,1174,1343059,43215,1496,1298348,115941,100977,32,13
2000, Ontario ,"100,000 - 199,999",,2398,310361,43705,2845,263811,17159,16944,38,10
2002, Rockland ,"10,000 - 19,999",,15671,229621,149575,4905,75141,3066,-1077,45,3
2003, Columbia ,"40,000 - 49,999",,1970,88532,24763,1546,62224,3140,2863,16,6
2003, Residence Unknown ++ ,"30,000 - 39,999",,1323,46099,13734,560,31805,1624,1537,66,5
2003, Putnam ,"Under 5,000",,6292,12107,11143,0,965,39,-109,43,1
2005, New York City - Richmond ,Total,,190353,10121513,2364646,116925,7639704,473247,420548,5,12
2007, NYS Unclassified + ,"30,000 - 39,999",,44,1529,503,17,1009,51,43,65,5
2004, Orange ,"100,000 - 199,999",,15943,2074986,367838,21677,1685471,110406,98809,39,10
2011,Residence Unknown ++,"60,000 - 74,999",,241,16129,3263,145,12721,747,658,66,8
2005, Monroe ,"75,000 - 99,999",,25785,2225969,425547,29490,1770929,102295,100126,32,9
2009,Ulster,Total,,80596,3733675,938655,40515,2833191,175112,152300,57,14
2008, Herkimer ,"Under 5,000",,4125,-364,7421,0,430,17,-344,27,1
1999, Rockland ,Total,,123703,7465905,1534093,78506,5853291,361228,322012,45,12
2002, Madison ,"5,000 - 9,999",,2998,22156,18634,53,3469,139,-342,31,2
2003, Wayne ,"Under 5,000",,6388,13118,12243,0,876,35,-357,60,1
2011,Greene,"50,000 - 59,999",,1219,66684,16237,845,49601,2675,2430,25,7
1999, Washington ,"10,000 - 19,999",,4680,69934,43878,1901,24155,981,92,59,3
2006, Saratoga ,"20,000 - 29,999",,10742,267441,110988,4682,151771,6854,3847,47,4
2011,Livingston,"60,000 - 74,999",,1905,128095,27519,1635,98941,5463,4909,30,8
2009,Jefferson,"Under 5,000",,6411,-7371,11923,0,680,27,-744,28,1
2008, Yates ,"100,000 - 199,999",,465,59248,8964,526,49758,3221,2905,63,10
2007, Residence Unknown ++ ,"200,000 - 249,999",,84,18711,2208,43,16460,1128,1036,66,11
2004, St. Lawrence ,"40,000 - 49,999",,3237,145223,40965,2913,101345,5048,4802,46,6
2007,"Grand Total, Full-Year Resident","20,000 - 29,999",,1024299,25428896,10996520,649813,13782512,614741,168782,67,4
2003, New York City - Richmond ,"30,000 - 39,999",,18819,656398,222854,12124,421421,20682,18462,5,5
2008, Chemung ,"Under 5,000",,6149,4427,11348,0,632,25,-356,13,1
2004, New York City - Richmond ,"10,000 - 19,999",,23331,342849,224868,8735,109246,4450,-3597,5,3
2012,Seneca,"100,000 - 199,999",,940,120115,16752,1053,102311,6331,5638,51,10
2006, Westchester ,"50,000 - 59,999",,23942,1311309,362433,14124,934753,51712,45600,61,7
2012,Chemung,"100,000 - 199,999",,2989,388924,53523,3331,332070,20648,19378,13,10
2002, Rensselaer ,"50,000 - 59,999",,4138,226875,53472,3682,169720,8909,8552,44,7
2007, Tompkins ,"5,000 - 9,999",,3304,24355,20223,27,4105,164,-409,56,2
2008, New York City - Bronx ,"10,000 - 19,999",,112027,1636144,1076574,90492,469078,18975,-76012,1,3
2006, Broome ,"60,000 - 74,999",,5423,363344,79565,4980,278796,15318,13890,9,8
2008, Ulster ,"60,000 - 74,999",,5654,379955,90931,4534,284489,15871,14518,57,8
2007, Montgomery ,Total,,23312,828133,231746,11762,584635,32790,25132,33,14
